Trebbia_44.9525, 9.586667_5
Istro_44.820556, 20.462222_5
Elba_51.049258, 13.738361_5
Metauro_43.688956, 12.806119_5
Crustumio_43.8705, 12.4916_5
Savio_44.138889, 12.244444_5
Isauro_43.821269, 12.5721_5
Sena_43.713056, 13.218333_5
Ofanto_41.216667, 16.066667_5
Po_45.047778, 9.700556_5
Rutuba_43.790278, 7.608333_5
Volturno_41.15, 14.4_5
Sarno_40.75, 14.5_5
Liri_41.4, 13.766667_5
Sele_40.633333, 15.233333_5
Magra_44.216667, 9.966667_5
Gange_30.983333, 78.916667_5
Fasi_42.25, 42.7_5
Beti_37.883333, -4.766667_5
Eufrate_32.541781, 44.431644_5
Cefisio_38.432222, 23.245278_5
Dirce_38.323006, 23.320406_5
Alfeo_37.4, 22.133333_5
Peneo_39.633333, 22.416667_5
Strimone _40.816667, 23.85_5
Caico_38.928056, 26.937222_5
Marsia_38.066667, 30.166667_5
Meandro_37.54, 27.168889_5
Pattolo_38.2918, 28.0225_5
Ermo_38.2918, 28.0225_5
Oronte _35.418, 36.398_5
Indo_29.349167, 71.028056_5
Idaspe_32.659444, 73.405278_5
Tigri_33.093611, 44.580833_5
Battro_36.75, 66.9_5
Alis_39.85, 33.5_5
Tanai_47.270556, 39.341389_5
Sicori_41.616667, 0.633333_5
Ebro_41.657, -0.876_5
Bagrada_37.056528, 10.062258_5
Inaco_37.630614, 22.721463_5
Genuso_41.045833, 19.75_5
Apso_40.823611, 19.366667_5
Spercheo_38.9, 22.433333_5
Anfrisio_39.144116, 22.814496_5
Anauro_39.366667, 22.933333_5
Apidano_39.3, 22.383333_5
Enipeo_39.633333, 22.416667_5
Asopo_38.9, 22.433333_5
Fenice_38.9, 22.433333_5
Melanto_38.9, 22.433333_5
Titareso_39.633333, 22.416667_5
Timavo_45.8, 13.533333_5
Allia_42.0175, 12.52_5
Tago_39.958333, -4.832778_5
Leton_33.7, 8.43_5
Cinifo_30.435, 19.666944_5
Sagittario_42.170833, 13.831667_5
Anas_38.883056, -6.966667_5
Aliacmone_40.083333, 21.416667_5
Aea_40.3, 20.016667_5
Acheloo_38.666667, 21.316667_5
Eveno_38.383333, 21.433333_5
Simoenta_39.9575, 26.238889_5
Etna_37.751025, 14.994031_6
Alpi_44.45, 6.85_6
Ossa_39.783333, 22.683333_6
Vosgi_47.900833, 7.098611_6
Cevenne_44.426111, 3.739167_6
Olimpo_40.06, 22.35_6
Atlante_36.131667, -5.351667_6
Cillene_37.939722, 22.396944_6
Pindo_41.116667, 20.8_6
Pangeo_40.91374, 24.090357_6
Emo_42.717417, 24.917194_6
Pirenei_42.559688, 1.810554_6
Appennini_42.466667, 13.55_6
Tauri_37.32, 34.791944_6
Cerauni_40.198611, 19.591667_6
Parnaso_38.533333, 22.616667_6
Menelao_37.4, 22.133333_6
Oeta_38.8286, 22.28861_6
Ida_39.7, 26.833333_6
Amano_37.32, 34.791944_6
Nifate_39.354444, 43.866111_6
Taigeto_36.953889, 22.352222_6
Pelio_39.433, 23.05_6
Otri_39.016944, 22.709722_6
Rodopi_41.601111, 24.574167_6
Colli Euganei_45.313428, 11.689299_6
Mimante_42.618056, 25.305556_6
Vulture_40.948367, 15.635648_6
Gargano_41.72707, 15.77261_6
Valico Castulo_38.0359, -3.6235_6
Marica_41.915, 13.428056_1
Erice_38.0375, 12.5875_6
Gauro_40.848346, 14.105355_6
Athos_40.157222, 24.326389_6
Inarime_40.733333, 13.95_7
Leucade_38.833889, 20.708611_7
Sicilia_37.083333, 15.283333_7
Corcira_39.623889, 19.921389_7
Sasona_40.493611, 19.280556_7
Sardegna_39.216667, 9.116667_7
Creta_35.297961, 25.163156_7
Cipro_35.183333, 33.9_7
Peuce_45.066667, 28.75_7
Stecadi_43.330833, 4.845556_7
Baleari_39.566667, 2.65_7
Rodi_36.433333, 28.216667_7
Eubea_38.4625, 23.595_7
Lesbo_39.1, 26.55_7
Nisida_40.795278, 14.163333_7
Echinadi_38.369, 20.995_7
Delo_37.393333, 25.271111_7
Chio_38.383333, 26.116667_7
Icaria_37.583333, 26.166667_7
Samo_37.75, 26.966667_7
Cos_36.893833, 27.287028_7
Citera_36.25, 23_7
File_24.020833, 32.889444_7
Giglio_42.365556, 10.901667_7
Cicladi_37.393333, 25.271111_7
Curitta _45.066667, 14.6_7
Salamina_37.933333, 23.5_7
Ionio_36.385, 22.482778_8
Egeo_37.650572, 24.024586_8
Sirti_32.90222, 13.185833_8
Sirte_30.435, 19.666944_8
Atlantico_36.131667, -5.351667_8
Adriatico_40.638333, 17.945833_8
Nero_44.166667, 28.633333_8
Eusino_44.166667, 28.633333_8
Meotide_45.350833, 36.468611_8
Tirreno_42.1, 11.8_8
Rosso_27.8666, 34.283333_8
Caspio_40.366656, 49.835183_8
Indiano_30.028, 47.937_8
Propontide_40.616667, 27.616667_8
Campo di Marte_41.908458, 12.47703_1
Rupe Tarpea_41.891556, 12.482216_1
Campidoglio_41.893333, 12.483056_1
Foro_41.8922, 12.4852_1
vetta Laziare_41.893333, 12.483056_1
Teatro Pompeo_41.895278, 12.473611_1
Porta Collina_41.833333, 12.9_2
Calpe_36.131667, -5.351667_1
Colonne Ercole_36.131667, -5.351667_1
Stretto di Messina_38.183333, 15.55_1
Stretto Euripo_38.4625, 23.595_1
Stretto Ellesponto_40.417, 26.667_1
Stretto Bosforo_41.015278, 28.984722_1
Istmo Corinto_37.933333, 22.933333_1
Lago Averno_40.839, 14.076_9
Lago Lemano_46.2, 6.15_9
Lago Tritonide_33.7, 8.43_9
Palude Bebeide_39.384163, 22.737728_9
Capo Peloro_38.26635, 15.653085_10
Capo Malea_36.438056, 23.198611_10
Capo Pachino_36.685, 15.14_10
Capo Tenaro_36.385, 22.482778_10
Capo Palinuro_40.02493, 15.26781_10
Acrocerauni_40.41667, 19.3_10
Promontorio Lacina_39.025278, 17.202222_10
Promontorio Circeo_41.23109, 13.05553_10
Promontorio Cnido_36.685833, 27.375_10
Promontorio Casio_31.211667, 33.077778_10
Promontorio Ficunte_32.919161, 22.153516_10
Promontorio Sigeo_39.99, 26.180556_10
Promontorio Reteo_40.009167, 26.3_10
Golfo Malia_38.8583, 22.7056_1
Agro Pontino_41.23109, 13.05553_1
Agro Irpino_41.133333, 14.783333_1
